Entrepreneur ID,Agency,Support Type,Amount,Support Received Date,Business Type,Location,Outcome
480eaa0b-474c-478d-9543-b17efb4f5a7a,UDA Holding Berhad,Business premises,0,12/2/2023,Property Development Companies,Putrajaya,Failure
cb617ce7-c292-4244-ac70-bc195987cb79,UDA Holding Berhad,Business premises,0,24/9/2023,Property Development Companies,Kelantan,Success
42a90166-e6f2-47f7-b0cf-603e6967ff0c,Institut Koperasi Malaysia,Cooperative training programs,0,24/7/2024,Cooperatives,Selangor,Success
34501e99-e759-47b6-975c-675998382f28,Amanah Ikhtiar Malaysia,Microfinancing,24803.51,29/4/2024,SMEs,Penang,Success
cb479d8e-1759-499a-b219-0f8f4b8ccd21,Bank Rakyat,Microfinancing,41515.71,8/7/2023,Cooperatives,Selangor,Success
432af382-1be1-4b92-a9e7-6dc8773c03d0,SME Bank,Advisory services,0,3/1/2023,Social Enterprises,Perlis,Moderate
6699ad83-536d-4f82-87f2-b46d7c40316c,Suruhanjaya Koperasi Malaysia,Grants,95797.1,25/7/2024,Cooperatives,Melaka,Success
0e46c677-0f1b-48fe-a771-e5e1ad8515aa,Suruhanjaya Koperasi Malaysia,Grants,18252.76,7/6/2023,Cooperatives,Perak,Failure
815bedc9-5251-478c-a74e-ccb300d7c5bd,Amanah Ikhtiar Malaysia,Microfinancing,56377.01,7/7/2024,Microenterprises,Kuala Lumpur,Failure
46be49f6-964a-4328-bba4-b284d6ab0dfc,Bank Rakyat,Business loans,54509.32,29/8/2023,Individuals,Labuan,Success
239451c8-249d-49bb-8367-46f29dcfe668,Tekun Nasional,Business loans,44031.4,9/10/2023,SMEs,Penang,Success
48bec789-378c-4094-a1e2-05ba94bfc29a,Amanah Ikhtiar Malaysia,Microfinancing,77203.41,13/9/2022,Microenterprises,Perlis,Success
8736d32f-8b72-4adc-bcff-a6b3cf77d203,Amanah Ikhtiar Malaysia,Microfinancing,32472.09,3/10/2022,SMEs,Sabah,Success
1ccfb7c3-1ff4-4f56-96f7-620d77f2f493,Perbadanan Nasional Berhad,Franchise development support,0,19/10/2023,SMEs,Sabah,Failure
f2293eaf-92dc-4da6-a4eb-febe09b9e477,Bank Rakyat,Business loans,40962.48,25/5/2024,Individuals,Labuan,Success
84ea2c5a-b24f-41fc-8ae8-f4aa6f02a84a,Tekun Nasional,Entrepreneurial training,0,30/12/2022,Startups,Sarawak,Success
865f3a50-49eb-4c9c-96ed-b994db8ea14d,UDA Holding Berhad,Property development support,0,3/7/2023,Startups,Johor,Success
d38b6ba5-76e5-4eaf-97e7-362d9c7631e5,Institut Keusahawanan Negara,Entrepreneurial training,0,27/4/2024,SMEs,Pahang,Moderate
2b23a30d-2ca0-4eee-93c6-22df77608377,Suruhanjaya Koperasi Malaysia,Grants,38162.14,1/3/2023,SMEs,Penang,Moderate
9a379131-5100-48f1-ba2c-ea4f0396db46,SME Corp Malaysia,Grants,66368.07,2/2/2023,Innovative and High-Growth Businesses,Perlis,Moderate
8d0b7bf0-e0c8-4d40-89d3-f5a04c9ed283,Institut Keusahawanan Negara,Entrepreneurial training,0,3/11/2022,SMEs,Perlis,Success
0b50e529-f405-4d2a-9c0c-17afa79eafb0,Bank Rakyat,Business loans,20956.32,6/10/2023,Cooperatives,Melaka,Success
034b819e-8291-47de-a263-69a664be2e90,Institut Keusahawanan Negara,Advisory services,0,4/3/2024,SMEs,Selangor,Failure
0c5ba971-9152-4038-9981-f006491d8a1b,Institut Koperasi Malaysia,Cooperative training programs,0,30/10/2023,SMEs,Sarawak,Failure
7c131404-03f1-477a-852b-c9f4b875ec2b,Amanah Ikhtiar Malaysia,Entrepreneurial training,0,26/12/2022,Microenterprises,Kelantan,Failure
eb9f4aa3-4c92-4efd-8990-8b91373f661d,Tekun Nasional,Entrepreneurial training,0,14/2/2023,SMEs,Sarawak,Moderate
0a4d5a8e-b153-43e5-bf4b-4a08eef2707b,SME Corp Malaysia,Grants,33913.39,21/6/2024,Startups,Kelantan,Moderate
76a2b787-416c-4d97-8260-ec73cc70b722,Suruhanjaya Koperasi Malaysia,Cooperative advisory services,0,18/7/2024,Cooperatives,Putrajaya,Failure
7a2a30b7-19d6-4663-bdf8-2fa6c3473820,Perbadanan Nasional Berhad,Franchise development support,0,2/7/2023,Startups,Terengganu,Success
b6fa77e1-23a8-49a7-82af-39f951d3c203,UDA Holding Berhad,Business premises,0,23/10/2022,Property Development Companies,Sabah,Success
30ebe6d1-91e0-4eaf-a0b4-454844c2c23b,Suruhanjaya Koperasi Malaysia,Cooperative advisory services,0,28/10/2022,SMEs,Pahang,Moderate
aac1ec8c-899e-4dfe-a4a3-fbd24e0bfa5a,Amanah Ikhtiar Malaysia,Entrepreneurial training,0,12/5/2023,Microenterprises,Penang,Moderate
42372103-2aa5-4834-ae26-44a5aaad55c6,Institut Koperasi Malaysia,Cooperative training programs,0,28/12/2023,Cooperatives,Perlis,Moderate
d83999fe-548c-46df-b2ab-33797dc1d071,Institut Koperasi Malaysia,Cooperative training programs,0,6/3/2024,Startups,Pahang,Failure
c78061e1-735c-409c-b080-853418ff6157,UDA Holding Berhad,Advisory services,0,23/10/2022,Property Development Companies,Putrajaya,Failure
