Business Type,Industry,Years in Operation,Location,Grant Amount,Number of Trainings,Advisory Sessions,Microfinancing,Business Development Services,Success Rate (%)
Microenterprise,Services,17,Urban,39214,1,8,No,Yes,40.607
Individual,Tech,9,Suburban,81871,2,5,Yes,Yes,64.4355
SME,Tech,1,Urban,28602,3,0,Yes,No,25.301
Microenterprise,Manufacturing,20,Rural,53331,9,0,Yes,No,49.6655
Microenterprise,Services,13,Rural,48901,0,5,No,No,31.9505
Individual,Tech,16,Urban,99986,6,3,No,No,66.493
SME,Manufacturing,13,Suburban,63416,1,3,No,No,38.208
SME,Services,14,Urban,32196,4,5,Yes,Yes,43.598
Microenterprise,Manufacturing,3,Suburban,5626,0,6,No,Yes,18.813
Startup,Retail,6,Rural,7424,2,8,Yes,Yes,31.712
Microenterprise,Tech,18,Suburban,12857,1,9,Yes,No,26.9285
Microenterprise,Retail,19,Rural,19982,0,4,Yes,Yes,27.991
Microenterprise,Services,5,Suburban,76961,6,8,No,Yes,69.4805
Microenterprise,Retail,15,Suburban,1980,4,3,Yes,Yes,25.49
Individual,Retail,2,Suburban,48290,0,9,No,Yes,44.645
SME,Services,10,Urban,26431,5,1,No,Yes,31.7155
Individual,Manufacturing,18,Urban,84976,4,2,Yes,No,58.488
Individual,Retail,13,Rural,82711,2,0,Yes,Yes,57.3555
Individual,Manufacturing,5,Rural,26385,6,5,No,No,32.6925
Microenterprise,Retail,1,Urban,38158,9,5,Yes,No,49.579
Startup,Manufacturing,1,Rural,23019,8,0,No,No,27.5095
SME,Services,18,Urban,18639,8,2,Yes,No,33.3195
Startup,Retail,15,Suburban,85530,8,4,No,No,64.765
Individual,Services,17,Rural,99911,1,2,No,Yes,61.9555
Individual,Retail,11,Rural,21563,2,9,No,Yes,35.2815
Startup,Services,17,Urban,39341,6,2,No,No,34.6705
Startup,Services,13,Rural,5776,4,9,Yes,No,29.388
Startup,Retail,1,Rural,36444,1,2,Yes,No,28.222
Individual,Retail,2,Suburban,68916,2,4,No,Yes,51.458
Individual,Retail,9,Rural,8711,9,4,No,No,28.3555
SME,Tech,3,Suburban,74318,5,3,Yes,Yes,63.659
SME,Manufacturing,1,Urban,82970,6,0,Yes,No,58.485
Individual,Tech,16,Rural,85553,8,4,Yes,Yes,76.7765
Startup,Tech,6,Suburban,30707,0,9,Yes,No,33.8535
Startup,Services,17,Urban,39110,6,4,Yes,Yes,49.555
SME,Retail,5,Rural,61788,7,3,Yes,No,54.394
Individual,Manufacturing,5,Urban,82879,2,5,No,Yes,59.9395
SME,Services,6,Rural,38827,3,9,Yes,Yes,50.9135
SME,Tech,3,Urban,5655,9,3,Yes,Yes,37.3275
Microenterprise,Retail,5,Urban,44859,5,6,No,Yes,48.4295
Microenterprise,Services,5,Suburban,53625,9,6,Yes,Yes,65.8125
Microenterprise,Retail,10,Urban,52098,6,1,Yes,Yes,51.549
Startup,Services,10,Rural,15251,3,2,Yes,Yes,28.6255
Individual,Retail,19,Rural,526,7,0,Yes,No,19.263
Individual,Tech,17,Suburban,68760,4,7,Yes,No,57.88
Individual,Manufacturing,14,Rural,47837,0,8,No,No,35.9185
Individual,Tech,9,Rural,11536,3,3,Yes,No,21.268
Microenterprise,Manufacturing,14,Rural,28541,2,5,No,No,25.7705
